0.667		0.009		-0.66		0.02
0.645		0.009		-0.65		0.02
0.625		0.008		-0.62		0.02
0.606		0.008		-0.60		0.02
0.588		0.008		-0.59		0.02
0.571		0.007		-0.57		0.02
0.556		0.007		-0.56		0.02
0.541		0.007		-0.54		0.02
0.526		0.007		-0.52		0.02
0.513		0.006		-0.51		0.02
0.500		0.006		-0.50		0.02
0.488		0.006		-0.48		0.02
0.476		0.006		-0.47		0.02
0.465		0.006		-0.46		0.02
0.455		0.006		-0.45		0.03
0.444		0.005		-0.44		0.03
0.435		0.005		-0.44		0.03
0.426		0.005		-0.42		0.02
0.417		0.005		-0.41		0.02
0.408		0.005		-0.41		0.02
0.400		0.005		-0.398		0.015
0.392		0.005		-0.39		0.03
0.385		0.005		-0.38		0.02
0.377		0.005		-0.373		0.014
0.370		0.004		-0.37		0.02
0.364		0.004		-0.360		0.014
0.357		0.004		-0.35		0.03
0.351		0.004		-0.348		0.014
0.345		0.004		-0.34		0.03
0.339		0.004		-0.335		0.014
0.333		0.004		-0.33		0.03
0.317		0.004		-0.31		0.03
0.303		0.004		-0.30		0.03
0.290		0.003		-0.29		0.03
0.278		0.003		-0.28		0.03
0.267		0.003		-0.26		0.03
0.256		0.003		-0.25		0.03
0.247		0.003		-0.24		0.03
0.238		0.003		-0.235		0.012
0.230		0.003		-0.23		0.03
0.222		0.003		-0.215		0.012
0.200		0.002		-0.203		0.011
0.182		0.002		-0.180		0.015
0.167		0.002		-0.165		0.011
0.154		0.002		-0.15		0.03
0.143		0.002		-0.14		0.03
0.133		0.002		-0.133		0.012
0.1250		0.0014		-0.13		0.03
0.1176		0.0013		-0.11		0.03
0.1111		0.0012		-0.103		0.010
0.1053		0.0012		-0.10		0.03
